ID,Name,Category,Type,Rating,Download Link,Download Size,Download OS
162,Kick me too,Drumsynths,5 voice drum synth,3.444,https://plugins4free.com/get_plug/kmt.zip,3.2,Windows x86
165,Drumatic VE,Drum_machines,Roland TR style,2.889,https://plugins4free.com/get_plug/drumatic_ve_1_01.zip,1.7,Windows x86
172,Psy Drums,Drumsynths,10 voice drum synth,3.25,https://plugins4free.com/get_plug/psydrum.zip,1.3,Windows x86
195,SoloString,Guitar/Bass,Guitar,3.667,https://plugins4free.com/get_plug/solostring.zip,null,Windows x86
174,Minerva,Percussions,Granular percussions,3.5,https://plugins4free.com/get_plug/tb_minerva_1_1.zip,2.6,Windows x86
166,RoboDrum,Drumsynths,4 voice drum synth,3.25,https://plugins4free.com/get_plug/Robodrum.zip,1.2,Windows x86
160,Drumatic 3,Drumsynths,7 voice drum synth,4.081,https://plugins4free.com/get_plug/drumatic_3_02.zip,1.5,Windows x86
169,Zapkit,Drumsynths,6 voice drum synth,3.556,https://plugins4free.com/get_plug/ZapKit.zip,1.9,Windows x86
161,Carillon,Percussions,Bell and chimes,3.406,https://plugins4free.com/get_plug/tb_carillon_1_1.zip,null,Windows x86
163,ErsDrums,Drumsynths,10 voice drum synth,4.263,https://plugins4free.com/get_plug/ersdrums_1_2.zip,0.4,Windows x86
185,DmiFlute,Brass/Wind,Flute,2.314,https://plugins4free.com/get_plug/dmiflute1.zip,0.2,Windows x86
170,Wollo Beat,Drumkits,Acoustic / electro drums,2.571,https://plugins4free.com/get_plug/WOLLO_BEAT_2.zip,4.6,Windows x86
173,Optik,Drumsynths,7 voice drum synth,4,https://plugins4free.com/get_plug/Optik_v1.3.1.zip,0.9,Windows x86
164,DR Fusion,Drumkits,Waves / synth drum kit,3.927,https://plugins4free.com/get_plug/DRF2.zip,21.9,Windows x86
167,Rhythms SA Pack,Single_drums,Drum synth modules,3.429,https://plugins4free.com/get_plug/rhythms SA PAck.zip,3.9,Windows x86
186,null,Brass/Wind,null,3.834,https://plugins4free.com/get_plug/DSK-Brass.zip,34.2,Windows x86
175,JM-1,Drum_machines,Linn Drum style,3.923,https://plugins4free.com/get_plug/JM-1 Installer.exe,1.6,Windows x86
168,Rhythms,Drumsynths,9 voice drum synth,3.8,https://plugins4free.com/get_plug/Rhythmsv3.6.zip,1.5,Windows x86
183,Expodrum,Percussions,Percussion,3.65,https://plugins4free.com/get_plug/expodrum1.zip,0.9,Windows x86
181,Takim,Percussions,Percussion,4.318,https://plugins4free.com/get_plug/Takim.zip,1.6,Windows x86
194,Richman,Hybrid/Other,Plucked strings synth,4.676,https://plugins4free.com/get_plug/richman2.zip,1.6,Windows x86
182,Papaya,Percussions,Steel drums,2.333,https://plugins4free.com/get_plug/tb_papaya_1_1.zip,null,Windows x86
192,DVS Guitar,Guitar/Bass,Guitar,3.643,https://plugins4free.com/get_plug/dvs_guitar.zip,1.5,Windows x86
184,Dub Siren,Misc.,Siren,3.724,https://plugins4free.com/get_plug/dubsiren1_3.zip,1.1,Windows x86
176,Freqatic,Drumsynths,FM drum synth,3.444,https://plugins4free.com/get_plug/freqatic04.zip,0.6,Windows x86
191,Bassline,Guitar/Bass,WaveSample Bass,3.742,https://plugins4free.com/get_plug/bassline_1-3.zip,0.9,Windows x86
178,dmiHammer,Percussions,Chromatic percussion,3.385,https://plugins4free.com/get_plug/dmiHammer.zip,0.2,Windows x86
180,Utopia,Percussions,Percussion,3.333,https://plugins4free.com/get_plug/utopia.zip,0.9,Windows x86
196,String Theory,Hybrid/Other,Plucked string,3.844,https://plugins4free.com/get_plug/string_theory_1.5.zip,9.9,Windows x86
177,FreeDrum,Drumsynths,7 voice drum synth,3.75,https://plugins4free.com/get_plug/GTG_FreeDrum.ZIP,0.8,Windows x86
190,4Front Bass,Guitar/Bass,Bass,3.624,https://plugins4free.com/get_plug/4Front_Bass_x64.zip,4.5,Windows x64
171,SD 2100,Drum_machines,Emu SP 1200 emulation,3.947,https://plugins4free.com/get_plug/SD2100.zip,2.4,Windows x86
179,Saros,Percussions,Percussion,3.429,https://plugins4free.com/get_plug/saros1.zip,1.6,Windows x86
198,Cellofan,Piano/Strings,Cello,4.11,https://plugins4free.com/get_plug/Cellofan.zip,1.3,Windows x86
189,Saxi Player,Brass/Wind,Saxophone,null,https://plugins4free.com/get_plug/SaxiPlayer.zip,50.7,Windows x86
187,DVS Saxophone,Brass/Wind,Saxophone,4.247,https://plugins4free.com/get_plug/dvs_saxophone.zip,1.2,Windows x86
199,FTM String,Piano/Strings,String instruments,3.581,https://plugins4free.com/get_plug/FTM_String.dll,1.4,Windows x86
188,IxoxFlute,Brass/Wind,Flute,4.033,https://plugins4free.com/get_plug/IxoxFlute_v0.2.zip,17.4,Windows x86
193,Raspier,Guitar/Bass,Bass,3.586,https://plugins4free.com/get_plug/raspier.zip,1.3,Windows x86
197,String Thing,Guitar/Bass,Plucked string,3.867,https://plugins4free.com/get_plug/StringThing2.zip,1.5,Windows x86
208,Revos,Loop/Scratch,Step mod sampler,3,https://plugins4free.com/get_plug/revos.zip,null,Windows x86
212,TurntablistPro,Loop/Scratch,Scratcher,2.8,https://plugins4free.com/get_plug/TurntablistPro104_Win.zip,0.4,Windows x86
207,Mixed Reaction!,Loop/Scratch,Wav player,3.9,https://plugins4free.com/get_plug/MixedReaction!10.zip,5.4,Windows x86
210,Stutterer,Loop/Scratch,Sample slicer,3.357,https://plugins4free.com/get_plug/Stutterer.zip,0.5,Windows x86
202,Pling4,Guitar/Bass,Plucked string,4.125,https://plugins4free.com/get_plug/pling4.zip,2.2,Windows x86
221,Sam!Solo,SF2/Wav,Sampler,null,https://plugins4free.com/get_plug/Sam!Solo11.zip,2.3,Windows x86
204,Prova,Piano/Strings,Piano,3.977,https://plugins4free.com/get_plug/Prova.zip,18.5,Windows x86
203,Preparation P,Piano/Strings,Piano,3.5,https://plugins4free.com/get_plug/PreparationP.zip,29,Windows x86
200,Jazz Baby,Piano/Strings,Piano,4.081,https://plugins4free.com/get_plug/Jazz Baby.zip,6.7,Windows x86
214,Cyber,SF2/Wav,Sampler,3.294,https://plugins4free.com/get_plug/CyberFREE.zip,0.2,Windows x86
211,Sxratch,Loop/Scratch,Scratcher,3.577,https://plugins4free.com/get_plug/sxratch_2.zip,2.7,Windows x86
213,xTal,Loop/Scratch,Beat matching sampler,2.125,https://plugins4free.com/get_plug/xtal009.zip,0.3,Windows x86
219,Sfplay,SF2/Wav,Sampler,3.889,https://plugins4free.com/get_plug/sfplay3.zip,0.7,Windows x86
228,Sunra,Ambient,Texture generator,3.364,https://plugins4free.com/get_plug/sun_ra_v104.zip,6.1,Windows x86
223,Gargoyle,Ambient,Ambient synth,3.769,https://plugins4free.com/get_plug/gargoyle.zip,0.9,Windows x86
216,Paax,SF2/Wav,Sampler,3.889,https://plugins4free.com/get_plug/p2_app.zip,0.2,Windows x86
209,Scrubber,SF2/Wav,Timestretching sampler,3.455,https://plugins4free.com/get_plug/Scrubber.zip,0.3,Windows x86
227,Vurtbox,Ambient,Ambient synth,4.182,https://plugins4free.com/get_plug/vurtbox.zip,1.7,Windows x86
224,Motion,Ambient,Ambient synth,null,https://plugins4free.com/get_plug/motion28.zip,1.5,Windows x86
206,H4xx0r,Loop/Scratch,Beatslicer,3.857,https://plugins4free.com/get_plug/arcDev.H4xx0r.v1.1.exe,1.2,Windows x86
220,Sampliz,SF2/Wav,Sampler,3.714,https://plugins4free.com/get_plug/jagosampliz.zip,null,Windows x86
226,STS-26,Ambient,Wave transition synth,4.607,https://plugins4free.com/get_plug/STS-26Pro.zip,16.9,Windows x86
218,Sam!,SF2/Wav,Sampler,null,https://plugins4free.com/get_plug/Sam!13.zip,3,Windows x86
233,Invader,Ambient,FX synth,null,https://plugins4free.com/get_plug/invader.zip,0.8,Windows x86
236,K1,Analog,Analog synth,4.211,https://plugins4free.com/get_plug/GTG_K 1.3.zip,0.8,Windows x86
235,JX220,Analog,Analog synth,3.909,https://plugins4free.com/get_plug/JX220.exe,0.4,Windows x86
237,Kronos,Analog,Analog synth,3.5,https://plugins4free.com/get_plug/Kronos.zip,0.9,Windows x86
229,Texture,Ambient,Texture synth,4.55,https://plugins4free.com/get_plug/Texture1.2.zip,1.4,Windows x86
