Title,Artist,Year,Genre,BPM,Energy,Dance,Valence,Popularity,WIP,,Tags,Spotify ID
1973,James Blunt,2007,Rock,123,67,72,77,69,,,neo mellow;pop;alternative;love;dance,1BV0m40U0M4t1SLIsDnwZl
A Man For All Seasons,Robbie Williams,2003,Soundtrack,124,74,58,82,38,,,german soundtrack;orchestral soundtrack;soundtrack;dance rock;europop;talent show;dance;groovy,3RIm56NRLSZYo1xgHlbPH4
A Thousand Miles,Vanessa Carlton,2002,Pop,95,83,56,27,76,,,lilith;neo mellow;piano rock;pop rock;post-teen pop;dance;groovy;love;waltz,4w1lzcaoZ1IC2K5TwjalRP
Adventure Of A Lifetime,Coldplay,2015,Pop,112,92,64,53,81,,,permanent wave;pop;dance;alternative,69uxyAqqPIsUyTO8txoP2M
Africa,Toto,1982,Rock,93,37,67,73,86,,,album rock;classic rock;hard rock;mellow gold;rock;soft rock;yacht rock;retro;oldies,2374M0fQpWi3dLnB54qaLX
Besame Mucho,Andrea Bocelli,1940,Latin,95,50,52,38,61,,,classical tenor;italian tenor;operatic pop;love;slow;jazz;bossa;oldies;retro,5WHnE8MsLFHqSUwecrs7WO
Billie Jean,Michael Jackson,1982,Pop,117,65,92,85,78,,,r&b;soul;,5ChkMS8OtdzJeqyybCc9R5
Bistro Fada,Stephane Wrembel,2011,Jazz,99,37,76,86,52,,,gypsy jazz;instrumental;waltz,08T5wMbEnPN8ghT8o24KY6
Bitter Sweet Symphony,Verve,1997,Rock,171,92,36,52,80,,,britpop;permanent wave;rock;shoegaze;alternative,57iDDD9N9tTWe75x6qhStw
Blackbird,Beatles,1968,Folk,94,13,69,37,77,,,british invasion;classic rock;merseybeat;psychedelic rock;rock;oldies;retro;acoustic;alternative;folk,5jgFfDIR6FR0gvlA56Nakr
Californication,Red Hot Chili Peppers,1999,Alternative,96,77,59,33,83,,,alternative rock;funk metal;funk rock;permanent wave;rock;groovy,48UPSzbZjgc449aqz8bxox
Careless Whisper,George Michael,1984,Pop,153,63,57,80,82,,,new wave pop;soft rock;oldies;retro,4jDmJ51x1o9NZB5Nxxc7gY
Copacabana,Barry Manilow,1978,Disco,108,67,76,80,49,,,adult standards;mellow gold;soft rock;yacht rock;acoustic;love;dance;groovy;oldies;retro,3hWOGUIOcqKDoVpFBLp9Qc
Crazy Little Thing Called Love,Queen,1979,Rock,77,57,63,75,0,,,classic rock;glam rock;rock;groovy;dance;fast;oldies;retro,2NpKgRCZfFb8fVmvk16iMx
Don't Know Why,Norah Jones,2002,Pop,89,22,75,64,77,,,contemporary vocal jazz;jazz pop;neo mellow;vocal jazz;groovy;slow;love,1zNXF2svmdlNxfS5XeNUgr
Escape (Pina Colada),Rupert Holmes,1979,Rock,139,51,84,95,75,,,yacht rock;groovy;love;dance;oldies;retro,5IMtdHjJ1OtkxbGe4zfUxQ
Everywhere,Fleetwood Mac,1987,Rock,115,54,69,76,67,,,album rock;classic rock;rock;soft rock;yacht rock;,1prZ0pr6XoRCxcrC3MCL0M
Eye Of The Tiger,Survivor,1982,Rock,109,60,82,55,75,,,album rock;glam metal;hard rock;soft rock;groovy;dance;fast;oldies;retro,2KH16WveTQWT6KOG9Rg6e2
Fifty Ways To Leave Your Lover,Paul Simon,1975,Rock,102,37,82,29,68,,,classic rock;folk;folk rock;mellow gold;permanent wave;rock;singer-songwriter;soft rock;oldies;retro;love;groovy,6Qb7gtV6Q4MnUjSbkFcopl
Hallelujah,Jeff Buckley,1984,Rock,73,20,34,44,57,,,canadian pop;chamber pop;melancholia;piano rock;singer-songwriter;slow;love;acoustic;alternative;oldies;retro,5USZyz6dnBEn1oLsKcAKQy
Have You Ever Seen The Rain,CCR,1971,Rock,116,47,74,89,65,,,album rock;classic rock;country rock;mellow gold;rock;southern rock;swamp rock;oldies;retro;groovy;dance,5DnT9a5IM3eMjKgXTWVJvi
Hey Jude,Beatles,1968,Rock,74,63,46,59,69,,,british invasion;classic rock;merseybeat;psychedelic rock;rock;retro;oldies;dance;groovy;love,1eT2CjXwFXNx6oY5ydvzKU
